Test Case,Request Number,Latency (seconds)
2,97,0.024259090423583984
2,98,0.023283958435058594
2,99,0.02424907684326172
2,100,0.022722244262695312
3,1,0.021347999572753906
3,2,0.02207469940185547
3,3,0.033264875411987305
3,4,0.02129197120666504
3,5,0.023233890533447266
3,6,0.022913217544555664
3,7,0.022722721099853516
3,8,0.022739887237548828
3,9,0.02432560920715332
3,10,0.022125720977783203
3,11,0.022015094757080078
3,12,0.023861408233642578
3,13,0.02185845375061035
3,14,0.02385568618774414
3,15,0.0214235782623291
3,16,0.025513410568237305
3,17,0.023219823837280273
3,18,0.02211928367614746
3,19,0.023120880126953125
3,20,0.030313730239868164
3,21,0.02040243148803711
3,22,0.02271866798400879
3,23,0.021660566329956055
3,24,0.02354288101196289
3,25,0.02431178092956543
3,26,0.02113652229309082
3,27,0.02847433090209961
3,28,0.023721933364868164
3,29,0.023929595947265625
3,30,0.02200603485107422
3,31,0.02294135093688965
3,32,0.02112603187561035
3,33,0.030608415603637695
3,34,0.022469520568847656
3,35,0.024371623992919922
3,36,0.022600650787353516
3,37,0.020427465438842773
3,38,0.023345232009887695
3,39,0.023017406463623047
3,40,0.02817249298095703
3,41,0.023335695266723633
3,42,0.02210259437561035
3,43,0.022805213928222656
3,44,0.02644062042236328
3,45,0.0248568058013916
3,46,0.020609378814697266
3,47,0.026413917541503906
3,48,0.02216649055480957
3,49,0.020701169967651367
3,50,0.02872467041015625
3,51,0.02355170249938965
3,52,0.022197246551513672
3,53,0.022265195846557617
3,54,0.0292661190032959
3,55,0.0339655876159668
3,56,0.025717973709106445
3,57,0.019168376922607422
3,58,0.03612399101257324
3,59,0.026080608367919922
3,60,0.022954702377319336
3,61,0.02848029136657715
3,62,0.024843931198120117
3,63,0.02305746078491211
3,64,0.02595829963684082
3,65,0.027391672134399414
3,66,0.022432327270507812
3,67,0.023099184036254883
3,68,0.024836063385009766
3,69,0.022213220596313477
3,70,0.026578187942504883
3,71,0.021155834197998047
3,72,0.026444435119628906
3,73,0.02202606201171875
3,74,0.024941682815551758
3,75,0.022627592086791992
3,76,0.025607585906982422
3,77,0.029246091842651367
3,78,0.02418661117553711
3,79,0.022718429565429688
3,80,0.02376532554626465
3,81,0.026810884475708008
3,82,0.028404712677001953
3,83,0.017121315002441406
3,84,0.03044581413269043
3,85,0.018741846084594727
3,86,0.024502277374267578
3,87,0.02217245101928711
3,88,0.023165225982666016
3,89,0.02731037139892578
3,90,0.025104522705078125
3,91,0.02344965934753418
3,92,0.0223085880279541
3,93,0.029556751251220703
3,94,0.02367377281188965
3,95,0.026525497436523438
3,96,0.03325176239013672
3,97,0.025143146514892578
3,98,0.026192665100097656
3,99,0.024976253509521484
3,100,0.021223783493041992
4,1,0.02582836151123047
4,2,0.018430709838867188
4,3,0.02970576286315918
4,4,0.021903514862060547
4,5,0.022330045700073242
4,6,0.02620077133178711
4,7,0.022800445556640625
4,8,0.031153440475463867
4,9,0.026770353317260742
4,10,0.0232393741607666
4,11,0.027591466903686523
4,12,0.02305293083190918
4,13,0.023171424865722656
4,14,0.02449965476989746
4,15,0.026067018508911133
4,16,0.02211284637451172
4,17,0.0223691463470459
4,18,0.023146867752075195
4,19,0.023467540740966797
4,20,0.024936676025390625
4,21,0.024306774139404297
4,22,0.024950504302978516
4,23,0.02214193344116211
4,24,0.026358366012573242
4,25,0.023289203643798828
4,26,0.02193903923034668
4,27,0.0252532958984375
4,28,0.024684667587280273
4,29,0.023693084716796875
4,30,0.024991750717163086
4,31,0.02235555648803711
4,32,0.02870345115661621
4,33,0.024033069610595703
4,34,0.025987625122070312
4,35,0.0226442813873291
4,36,0.0249176025390625
4,37,0.033316612243652344
